release_year,AverageRuntime
1953,105.0
1954,107.5
1956,120.0
1958,77.0
1959,142.0
1960,158.0
1961,158.0
1962,163.0
1963,186.0
1964,170.0
1966,118.5
1967,110.0
1968,68.0
1969,152.0
1971,127.5
1972,97.0
1973,171.66666666666666
1974,162.0
1975,100.5
1976,147.25
1977,150.0
1978,141.0
1979,121.71428571428571
1980,137.4
1981,147.66666666666666
1982,127.0
1983,151.0
1984,186.33333333333334
1985,126.5
1986,115.83333333333333
1987,106.2
1988,114.66666666666667
1989,103.0
1990,111.85714285714286
1991,88.66666666666667
1992,118.33333333333333
1993,118.76470588235294
1994,130.6
1995,131.4
1996,121.28571428571429
1997,115.07692307692308
1998,119.95238095238095
1999,128.1
2000,122.875
2001,120.5
2002,111.23076923076923
2003,114.5
2004,111.34482758620689
2005,117.07407407407408
2006,113.92307692307692
2007,115.11627906976744
2008,109.76
2009,113.32558139534883
2010,109.25
2011,107.20547945205479
2012,106.86075949367088
2013,103.47115384615384
2014,100.85964912280701
2015,100.68345323741008
2016,94.89082969432314
2017,94.18274111675127
2018,95.90466101694915
2019,94.20708955223881
2020,91.75502008032129
2021,96.49889624724062
2022,93.61682242990655
